index,zone,year,month,day,hour,load
0,201,2023,1,1,12,1
1,201,2023,1,1,13,2
2,201,2023,1,1,14,3
3,201,2023,1,1,15,6
4,201,2023,1,1,16,11
5,201,2023,1,1,17,12
6,201,2023,1,1,18,7
7,201,2023,1,1,19,2
8,201,2023,1,1,20,2
9,201,2023,1,1,21,2
10,201,2023,1,1,22,2
11,201,2023,1,1,23,2
12,201,2023,1,2,0,0
13,201,2023,1,2,1,0
14,201,2023,1,2,2,0
15,201,2023,1,2,3,0
16,201,2023,1,2,4,0
17,201,2023,1,2,5,0
18,201,2023,1,2,6,0
19,201,2023,1,2,7,0
20,201,2023,1,2,8,0
21,201,2023,1,2,9,0
22,201,2023,1,2,10,2
23,201,2023,1,2,11,7
24,201,2023,1,2,12,16
25,201,2023,1,2,13,24
26,201,2023,1,2,14,26
27,201,2023,1,2,15,30
28,201,2023,1,2,16,28
29,201,2023,1,2,17,37
30,201,2023,1,2,18,46
31,201,2023,1,2,19,42
32,201,2023,1,2,20,38
33,201,2023,1,2,21,21
34,201,2023,1,2,22,14
35,201,2023,1,2,23,9
36,201,2023,1,3,0,4
37,201,2023,1,3,1,2
38,201,2023,1,3,2,1
39,201,2023,1,3,3,0
40,201,2023,1,3,4,1
41,201,2023,1,3,5,1
42,201,2023,1,3,6,1
43,201,2023,1,3,7,1
44,201,2023,1,3,8,0
45,201,2023,1,3,9,1
46,201,2023,1,3,10,3
47,201,2023,1,3,11,11
48,201,2023,1,3,12,17
49,201,2023,1,3,13,28
50,201,2023,1,3,14,44
51,201,2023,1,3,15,51
52,201,2023,1,3,16,55
53,201,2023,1,3,17,63
54,201,2023,1,3,18,64
55,201,2023,1,3,19,53
56,201,2023,1,3,20,41
57,201,2023,1,3,21,27
58,201,2023,1,3,22,19
59,201,2023,1,3,23,11
60,201,2023,1,4,0,7
61,201,2023,1,4,1,3
62,201,2023,1,4,2,2
63,201,2023,1,4,3,1
64,201,2023,1,4,4,0
65,201,2023,1,4,5,0
66,201,2023,1,4,6,0
67,201,2023,1,4,7,0
68,201,2023,1,4,8,0
69,201,2023,1,4,9,1
70,201,2023,1,4,10,3
71,201,2023,1,4,11,5
72,201,2023,1,4,12,9
73,201,2023,1,4,13,21
74,201,2023,1,4,14,36
75,201,2023,1,4,15,39
76,201,2023,1,4,16,45
77,201,2023,1,4,17,54
78,201,2023,1,4,18,69
79,201,2023,1,4,19,59
80,201,2023,1,4,20,45
81,201,2023,1,4,21,43
82,201,2023,1,4,22,31
83,201,2023,1,4,23,13
84,201,2023,1,5,0,9
85,201,2023,1,5,1,2
86,201,2023,1,5,2,0
87,201,2023,1,5,3,0
88,201,2023,1,5,4,0
